feature,importance
BMI,0.10124687845439463
Homocysteine Level,0.0962611010094794
CRP Level,0.0960928788874004
Sleep Hours,0.09462437482425755
Triglyceride Level,0.09176939377711614
Cholesterol Level,0.08950772440006702
Fasting Blood Sugar,0.08456048121123334
Age,0.08259924104923802
Blood Pressure,0.08254499245507795
Sugar Consumption,0.02275276984918338
Exercise Habits,0.022523054568286405
Alcohol Consumption,0.02216878208736072
Stress Level,0.021115854895960698
Diabetes,0.013687796222196284
High Blood Pressure,0.013578851217427253
Smoking,0.01335505349576377
High LDL Cholesterol,0.013338912232807936
Low HDL Cholesterol,0.01314650240079192
Family Heart Disease,0.012599938767423673
Gender,0.012525418194533686
